LocationID,GridCellID,Latitude,Longitude,StateProvince,Country,DensityPer,LandArea
42_-78_New York,42_-78,42,-78,New York,US,160.0,122057.0
44_-75_New York,44_-75,44,-75,New York,US,160.0,122057.0
45_-122_Oregon,45_-122,45,-122,Oregon,US,17.0,248608.0
46_-116_Idaho,46_-116,46,-116,Idaho,US,9.2,214045.0
47_-101_North Dakota,47_-101,47,-101,North Dakota,US,4.4,178711.0
47_-81_Ontario,47_-81,47,-81,Ontario,CA,15.2,1076395.0
55_-125_British Columbia,55_-125,55,-125,British Columbia,CA,5.4,944735.0
25_-80_Florida,25_-80,25,-80,Florida,US,163.0,138887.0
29_-90_Louisiana,29_-90,29,-90,Louisiana,US,41.0,111898.0
42_-89_Wisconsin,42_-89,42,-89,Wisconsin,US,42.0,140268.0
42_-88_Wisconsin,42_-88,42,-88,Wisconsin,US,42.0,140268.0
43_-103_South Dakota,43_-103,43,-103,South Dakota,US,4.7,196350.0
43_-99_Nebraska,43_-99,43,-99,Nebraska,US,10.0,198974.0
44_-98_South Dakota,44_-98,44,-98,South Dakota,US,4.7,196350.0
48_-89_Michigan,48_-89,48,-89,Michigan,US,69.0,146435.0
49_-110_Montana,49_-110,49,-110,Montana,US,3.0,376962.0
49_-97_Minnesota,49_-97,49,-97,Minnesota,US,28.0,206232.0
49_-93_Ontario,49_-93,49,-93,Ontario,CA,15.2,1076395.0
49_-92_Ontario,49_-92,49,-92,Ontario,CA,15.2,1076395.0
49_-90_Ontario,49_-90,49,-90,Ontario,CA,15.2,1076395.0
50_-104_Saskatchewan,50_-104,50,-104,Saskatchewan,CA,2.0,588243.56
50_-95_Ontario,50_-95,50,-95,Ontario,CA,15.2,1076395.0
51_-80_Ontario,51_-80,51,-80,Ontario,CA,15.2,1076395.0
52_-117_British Columbia,52_-117,52,-117,British Columbia,CA,5.4,944735.0
52_-96_Manitoba,52_-96,52,-96,Manitoba,CA,2.3,552371.0
56_-116_Alberta,56_-116,56,-116,Alberta,CA,6.7,640330.44
56_-112_Alberta,56_-112,56,-112,Alberta,CA,6.7,640330.44
60_-95_Manitoba,60_-95,60,-95,Manitoba,CA,2.3,552371.0
67_-142_Alaska,67_-142,67,-142,Alaska,US,0.5,1477953.0
68_-167_Alaska,68_-167,68,-167,Alaska,US,0.5,1477953.0
68_-145_Alaska,68_-145,68,-145,Alaska,US,0.5,1477953.0
71_-160_Alaska,71_-160,71,-160,Alaska,US,0.5,1477953.0
71_-159_Alaska,71_-159,71,-159,Alaska,US,0.5,1477953.0
32_-92_Louisiana,32_-92,32,-92,Louisiana,US,41.0,111898.0
34_-114_Arizona,34_-114,34,-114,Arizona,US,25.0,294207.0
35_-114_California,35_-114,35,-114,California,US,97.0,403466.0
37_-99_Kansas,37_-99,37,-99,Kansas,US,14.0,211754.0
41_-114_Utah,41_-114,41,-114,Utah,US,16.0,212818.0
41_-109_Utah,41_-109,41,-109,Utah,US,16.0,212818.0
41_-98_Nebraska,41_-98,41,-98,Nebraska,US,10.0,198974.0
42_-116_Idaho,42_-116,42,-116,Idaho,US,9.2,214045.0
43_-107_Wyoming,43_-107,43,-107,Wyoming,US,2.3,251470.0
45_-100_South Dakota,45_-100,45,-100,South Dakota,US,4.7,196350.0
45_-88_Michigan,45_-88,45,-88,Michigan,US,69.0,146435.0
45_-78_Ontario,45_-78,45,-78,Ontario,CA,15.2,1076395.0
46_-109_Montana,46_-109,46,-109,Montana,US,3.0,376962.0
46_-83_Ontario,46_-83,46,-83,Ontario,CA,15.2,1076395.0
49_-112_Montana,49_-112,49,-112,Montana,US,3.0,376962.0
51_-104_Saskatchewan,51_-104,51,-104,Saskatchewan,CA,2.0,588243.56
51_-102_Saskatchewan,51_-102,51,-102,Saskatchewan,CA,2.0,588243.56
29_-97_Texas,29_-97,29,-97,Texas,US,45.0,676587.0
30_-100_Texas,30_-100,30,-100,Texas,US,45.0,676587.0
30_-97_Texas,30_-97,30,-97,Texas,US,45.0,676587.0
35_-81_South Carolina,35_-81,35,-81,South Carolina,US,69.0,77857.0
41_-109_Wyoming,41_-109,41,-109,Wyoming,US,2.3,251470.0
45_-109_Montana,45_-109,45,-109,Montana,US,3.0,376962.0
48_-84_Ontario,48_-84,48,-84,Ontario,CA,15.2,1076395.0
49_-95_Ontario,49_-95,49,-95,Ontario,CA,15.2,1076395.0
51_-98_Manitoba,51_-98,51,-98,Manitoba,CA,2.3,552371.0
51_-93_Ontario,51_-93,51,-93,Ontario,CA,15.2,1076395.0
53_-106_Saskatchewan,53_-106,53,-106,Saskatchewan,CA,2.0,588243.56
54_-122_British Columbia,54_-122,54,-122,British Columbia,CA,5.4,944735.0
54_-120_Alberta,54_-120,54,-120,Alberta,CA,6.7,640330.44
55_-127_British Columbia,55_-127,55,-127,British Columbia,CA,5.4,944735.0
57_-118_Alberta,57_-118,57,-118,Alberta,CA,6.7,640330.44
57_-116_Alberta,57_-116,57,-116,Alberta,CA,6.7,640330.44
58_-116_Alberta,58_-116,58,-116,Alberta,CA,6.7,640330.44
59_-111_Alberta,59_-111,59,-111,Alberta,CA,6.7,640330.44
60_-132_Yukon,60_-132,60,-132,Yukon,CA,0.08,474712.7
61_-120_Northwest Territories,61_-120,61,-120,Northwest Territories,CA,0.04,1143793.9
62_-108_Northwest Territories,62_-108,62,-108,Northwest Territories,CA,0.04,1143793.9
63_-159_Alaska,63_-159,63,-159,Alaska,US,0.5,1477953.0
63_-130_Yukon,63_-130,63,-130,Yukon,CA,0.08,474712.7
63_-104_Northwest Territories,63_-104,63,-104,Northwest Territories,CA,0.04,1143793.9
63_-103_Northwest Territories,63_-103,63,-103,Northwest Territories,CA,0.04,1143793.9
64_-142_Alaska,64_-142,64,-142,Alaska,US,0.5,1477953.0
65_-158_Alaska,65_-158,65,-158,Alaska,US,0.5,1477953.0
65_-144_Alaska,65_-144,65,-144,Alaska,US,0.5,1477953.0
66_-165_Alaska,66_-165,66,-165,Alaska,US,0.5,1477953.0
66_-144_Alaska,66_-144,66,-144,Alaska,US,0.5,1477953.0
68_-152_Alaska,68_-152,68,-152,Alaska,US,0.5,1477953.0
69_-103_Nunavut,69_-103,69,-103,Nunavut,CA,0.02,1877778.5
72_-124_Northwest Territories,72_-124,72,-124,Northwest Territories,CA,0.04,1143793.9
29_-82_Florida,29_-82,29,-82,Florida,US,163.0,138887.0
30_-93_Louisiana,30_-93,30,-93,Louisiana,US,41.0,111898.0
33_-85_Georgia,33_-85,33,-85,Georgia,US,74.0,148959.0
34_-103_Texas,34_-103,34,-103,Texas,US,45.0,676587.0
35_-84_Georgia,35_-84,35,-84,Georgia,US,74.0,148959.0
36_-115_California,36_-115,36,-115,California,US,97.0,403466.0
37_-98_Kansas,37_-98,37,-98,Kansas,US,14.0,211754.0
38_-95_Missouri,38_-95,38,-95,Missouri,US,35.0,178040.0
39_-119_California,39_-119,39,-119,California,US,97.0,403466.0
40_-101_Nebraska,40_-101,40,-101,Nebraska,US,10.0,198974.0
41_-113_Utah,41_-113,41,-113,Utah,US,16.0,212818.0
42_-91_Illinois,42_-91,42,-91,Illinois,US,87.0,143793.0
45_-108_Montana,45_-108,45,-108,Montana,US,3.0,376962.0
46_-121_Oregon,46_-121,46,-121,Oregon,US,17.0,248608.0
47_-102_North Dakota,47_-102,47,-102,North Dakota,US,4.4,178711.0
47_-100_North Dakota,47_-100,47,-100,North Dakota,US,4.4,178711.0
47_-99_North Dakota,47_-99,47,-99,North Dakota,US,4.4,178711.0
48_-108_Montana,48_-108,48,-108,Montana,US,3.0,376962.0
48_-107_Montana,48_-107,48,-107,Montana,US,3.0,376962.0
48_-106_Montana,48_-106,48,-106,Montana,US,3.0,376962.0
48_-104_Montana,48_-104,48,-104,Montana,US,3.0,376962.0
48_-104_North Dakota,48_-104,48,-104,North Dakota,US,4.4,178711.0
48_-103_North Dakota,48_-103,48,-103,North Dakota,US,4.4,178711.0
48_-101_North Dakota,48_-101,48,-101,North Dakota,US,4.4,178711.0
48_-99_North Dakota,48_-99,48,-99,North Dakota,US,4.4,178711.0
49_-112_Alberta,49_-112,49,-112,Alberta,CA,6.7,640330.44
49_-104_North Dakota,49_-104,49,-104,North Dakota,US,4.4,178711.0
49_-103_Saskatchewan,49_-103,49,-103,Saskatchewan,CA,2.0,588243.56
49_-102_North Dakota,49_-102,49,-102,North Dakota,US,4.4,178711.0
51_-103_Saskatchewan,51_-103,51,-103,Saskatchewan,CA,2.0,588243.56
52_-122_British Columbia,52_-122,52,-122,British Columbia,CA,5.4,944735.0
52_-120_British Columbia,52_-120,52,-120,British Columbia,CA,5.4,944735.0
56_-129_British Columbia,56_-129,56,-129,British Columbia,CA,5.4,944735.0
58_-130_British Columbia,58_-130,58,-130,British Columbia,CA,5.4,944735.0
35_-82_North Carolina,35_-82,35,-82,North Carolina,US,86.0,125920.0
42_-109_Wyoming,42_-109,42,-109,Wyoming,US,2.3,251470.0
43_-105_Wyoming,43_-105,43,-105,Wyoming,US,2.3,251470.0
46_-100_South Dakota,46_-100,46,-100,South Dakota,US,4.7,196350.0
46_-71_Quebec,46_-71,46,-71,Quebec,CA,6.5,1542057.0
50_-95_Manitoba,50_-95,50,-95,Manitoba,CA,2.3,552371.0
50_-94_Ontario,50_-94,50,-94,Ontario,CA,15.2,1076395.0
50_-92_Ontario,50_-92,50,-92,Ontario,CA,15.2,1076395.0
56_-130_Alaska,56_-130,56,-130,Alaska,US,0.5,1477953.0
56_-119_Alberta,56_-119,56,-119,Alberta,CA,6.7,640330.44
59_-154_Alaska,59_-154,59,-154,Alaska,US,0.5,1477953.0
59_-130_British Columbia,59_-130,59,-130,British Columbia,CA,5.4,944735.0
59_-117_Alberta,59_-117,59,-117,Alberta,CA,6.7,640330.44
61_-117_Northwest Territories,61_-117,61,-117,Northwest Territories,CA,0.04,1143793.9
61_-116_Northwest Territories,61_-116,61,-116,Northwest Territories,CA,0.04,1143793.9
61_-77_Quebec,61_-77,61,-77,Quebec,CA,6.5,1542057.0
